AB ALBERTA
ABAG ABAG
AK ALASKA
AL ALABAMA                                        
ALTAY ALTAY
ANDA ANDA
ANQING ANQING
ANYANG ANYANG
AR ARKANSAS
ARXAN ARXAN
AS AMERICAN SAMOA
AZ ARIZONA
BACHU BACHU
BAILING-MIAO BAILING-MIAO
BAINGOIN BAINGOIN
BAISE BAISE
BARKAM BARKAM
BAYAN BAYAN
BC BRITISH COLUMBIA
BEIDAO BEIDAO
BEIJING BEIJING
BENGBU BENGBU
BENXI BENXI
BIJIE BIJIE
BOXIAN BOXIAN
BUGT BUGT
CA CALIFORNIA
CANGZHOU CANGZHOU
CAOHEKOU CAOHEKOU
CHANGCHUN CHANGCHUN
CHANGDE CHANGDE
CHANGSHA CHANGSHA
CHAOYANG CHAOYANG
CHENGDE CHENGDE
CHENGDU CHENGDU
CHENGSHANTOU CHENGSHANTOU
CHIFENG CHIFENG
CHONG-QING CHONG-QING
CHONGQING CHONGQING
CHUXIONG CHUXIONG
CO COLORADO
CT CONNECTICUT
DA-QAIDAM DA-QAIDAM
DACHEN DACHEN
DALIAN DALIAN
DANDONG DANDONG
DARLAG DARLAG
DATONG DATONG
DC DISTRICT OF COLUMBIA
DE DELAWARE
DENGQEN DENGQEN
DEQEN DEQEN
DINGHAI DINGHAI
DINGTAO DINGTAO
DONGFANG DONGFANG
DONGTAI DONGTAI
DULAN DULAN
DUNHUANG DUNHUANG
DUOLUN DUOLUN
EJIN EJIN
ENSHI ENSHI
ERENHOT ERENHOT
FL FLORIDA
FM MICRONESIA
FUJIN FUJIN
FUYUN FUYUN
FUZHOU FUZHOU
GA GEORGIA
GANGCA GANGCA
GANYU GANYU
GANZHOU GANZHOU
GARZE GARZE
GOLMUD GOLMUD
GU GUAM
GUANGHUA GUANGHUA
GUANGZHOU GUANGZHOU
GUILIN GUILIN
GUINAN GUINAN
GUIPING GUIPING
GUIYANG GUIYANG
HAIKOU HAIKOU
HAILAR HAILAR
HAILS HAILS
HAILUN HAILUN
HALIUT HALIUT
HAMI HAMI
HANGZHOU HANGZHOU
HANZHONG HANZHONG
HARBIN HARBIN
HECHI HECHI
HEFEI HEFEI
HEYUAN HEYUAN
HEZE/CAOZHOU HEZE/CAOZHOU
HEZUO HEZUO
HI HAWAII
HOBOKSAR HOBOKSAR
HOHHOT HOHHOT
HONG HONG
HOTAN HOTAN
HUADE HUADE
HUAILAI HUAILAI
HUILI HUILI
HUIMIN HUIMIN
HUMA HUMA
HUNG HUNG
HUOSHAN HUOSHAN
IA IOWA
ID IDAHO
IL ILLINOIS
IN INDIANA
JARTAI JARTAI
JARUD JARUD
JIAN JIAN
JIEXIU JIEXIU
JINAN JINAN
JINGDEZHEN JINGDEZHEN
JINGHE JINGHE
JINZHOU JINZHOU
JIULONG JIULONG
JIUQUAN JIUQUAN
JIXI JIXI
JURH JURH
KARAMAY KARAMAY
KASHI KASHI
KESHAN KESHAN
KING'S KING'S
KORLA KORLA
KS KANSAS
KUNMING KUNMING
KUQA KUQA
KY KENTUCKY
LA LOUISIANA
LANCANG LANCANG
LANZHOU LANZHOU
LENGHU LENGHU
LETING LETING
LHASA LHASA
LIJING LIJING
LINCANG LINCANG
LINDONG LINDONG
LINGLING LINGLING
LINJIANG LINJIANG
LINXI LINXI
LITANG LITANG
LONGZHOU LONGZHOU
LUSHI LUSHI
MA MASSACHUSETTS
MADOI MADOI
MAZONG MAZONG
MB MANITOBA
MD MARYLAND
ME MAINE
MENGZI MENGZI
MH MARSHALL ISLANDS
MI MICHIGAN
MINQIN MINQIN
MN MINNESOTA
MO MISSOURI
MP NORTHERN MARIANA ISLANDS
MS MISSISSIPPI
MT MONTANA
MUDANJIANG MUDANJIANG
NAGQU NAGQU
NANCHANG NANCHANG
NANCHENG NANCHENG
NANCHONG NANCHONG
NANJING NANJING
NANNING NANNING
NANPING NANPING
NB NEW BRUNSWICK
NC NORTH CAROLINA
ND NORTH DAKOTA
NE NEBRASKA
NENJIANG NENJIANG
NH NEW HAMPSHIRE
NJ NEW JERSEY
NL NEWFOUNDLAND AND LABRADOR
NM NEW MEXICO
NS NOVA SCOTIA
NT NORTHWEST TERRITORIES
NU NUNAVUT
NV NEVADA
NY NEW YORK
OH OHIO
OK OKLAHOMA
ON ONTARIO
OR OREGON
OTOG OTOG
PA PENNSYLVANIA
PE PRINCE EDWARD ISLAND
PI PACIFIC ISLANDS
PINGLIANG PINGLIANG
POTOU POTOU
PR PUERTO RICO
PW PALAU
QAMDO QAMDO
QC QUEBEC
QIAN QIAN
QIEMO/QARQAN QIEMO/QARQAN
QINGDAO QINGDAO
QINZHOU QINZHOU
QIONGHAI QIONGHAI
QIQIHAR QIQIHAR
QITAI QITAI
QU QU
QUMARLEB QUMARLEB
RI RHODE ISLAND
RUIAN RUIAN
RUO'ERGAI RUO'ERGAI
RUOQIANG RUOQIANG
SANYA SANYA
SC SOUTH CAROLINA
SD SOUTH DAKOTA
SHACHE SHACHE
SHANGHAI SHANGHAI
SHANGHAI/HONGQIAO SHANGHAI/HONGQIAO
SHANGZHI SHANGZHI
SHANTOU SHANTOU
SHANWEI SHANWEI
SHAOGUAN SHAOGUAN
SHENYANG SHENYANG
SHIJIAZHUANG SHIJIAZHUANG
SHIQUANHE SHIQUANHE
SIMAO SIMAO
SIPING SIPING
SK SASKATCHEWAN
SOG SOG
SONGPAN SONGPAN
SUIFENHE SUIFENHE
SUNWU SUNWU
TAIYUAN TAIYUAN
TAZHONG TAZHONG
TENGCHONG TENGCHONG
TIANJIN TIANJIN
TIANSHUI TIANSHUI
TIKANLIK TIKANLIK
